Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count
2024,11,MA,Preliminary,"444,002","1,462,465","2,938,425"
2024,11,MD,Preliminary,"341,434","1,852,842","2,450,819"
2024,11,ME,Preliminary,"84,172","320,570","704,094"
2024,11,MI,Preliminary,"454,079","2,410,942","4,537,137"
2024,11,MN,Preliminary,"253,334","1,689,857","2,610,275"
2024,11,MO,Preliminary,"284,227","2,268,719","2,864,869"
2024,11,MS,Preliminary,"167,066","1,187,468","1,352,401"
2024,11,MT,Preliminary,"54,852","438,003","562,524"
2024,11,NC,Preliminary,"611,837","4,121,198","5,102,287"
2024,11,ND,Preliminary,"48,429","428,663","398,888"
2024,11,NE,Preliminary,"81,177","664,653","917,478"
2024,11,NH,Preliminary,"84,958","348,367","653,074"
2024,11,NJ,Preliminary,"366,446","1,866,228","3,741,583"
2024,11,NM,Preliminary,"74,926","525,948","916,410"
2024,11,NV,Preliminary,"121,029","793,058","1,316,114"
2024,11,NY,Preliminary,"844,279","3,418,647","7,425,616"
2024,11,OH,Preliminary,"566,423","3,421,248","5,098,411"
2024,11,OK,Preliminary,"179,792","1,393,888","1,896,614"
2024,11,OR,Preliminary,"255,216","1,718,176","1,875,458"
2024,11,PA,Preliminary,"680,066","3,760,730","5,518,157"
2024,11,RI,Preliminary,"62,804","215,798","461,652"
2024,11,SC,Preliminary,"309,167","1,989,302","2,589,615"
2024,11,SD,Preliminary,"51,126","380,255","440,051"
2024,11,TN,Preliminary,"348,572","2,546,339","3,082,766"
2024,11,TX,Preliminary,"1,692,911","10,793,173","12,599,919"
2024,11,UT,Preliminary,"88,905","817,384","1,246,081"
2024,11,VA,Preliminary,"455,178","3,062,368","3,675,615"
2024,11,VT,Preliminary,"39,685","156,204","321,294"
2024,11,WA,Preliminary,"392,916","3,176,388","3,415,079"
2024,11,WI,Preliminary,"278,078","1,638,863","2,854,365"
2024,11,WV,Preliminary,"121,351","764,752","865,784"
2024,11,WY,Preliminary,"30,962","242,283","288,560"
2024,10,AK,Preliminary,"40,997","160,634","301,450"
2024,10,AL,Preliminary,"346,936","2,227,030","2,405,583"
2024,10,AR,Preliminary,"164,934","1,386,530","1,483,125"
2024,10,AZ,Preliminary,"506,482","3,372,283","3,118,334"
2024,10,CA,Preliminary,"2,243,542","7,410,807","14,595,696"
2024,10,CO,Preliminary,"231,109","1,499,543","2,494,633"
2024,10,CT,Preliminary,"249,277","831,301","1,555,530"
2024,10,DC,Preliminary,"28,074","151,044","320,759"
2024,10,DE,Preliminary,"53,743","299,902","472,308"
2024,10,FL,Preliminary,"1,635,332","11,533,600","10,473,021"
2024,10,GA,Preliminary,"594,871","4,253,697","4,817,210"
2024,10,HI,Preliminary,"97,612","236,497","446,957"
2024,10,IA,Preliminary,"126,665","950,261","1,465,530"
2024,10,ID,Preliminary,"76,473","625,460","873,024"
2024,10,IL,Preliminary,"476,371","2,885,602","5,323,228"
2024,10,IN,Preliminary,"330,204","2,087,874","2,995,330"
2024,10,KS,Preliminary,"137,407","952,287","1,335,566"
2024,10,KY,Preliminary,"221,958","1,644,172","2,013,822"
2024,10,LA,Preliminary,"290,547","2,447,033","2,160,942"
2024,10,MA,Preliminary,"428,559","1,462,163","2,930,492"
2024,10,MD,Preliminary,"314,696","1,637,279","2,450,832"
2024,10,ME,Preliminary,"88,026","335,711","754,874"
2024,10,MI,Preliminary,"433,021","2,233,380","4,533,339"
2024,10,MN,Preliminary,"249,356","1,564,501","2,606,256"
2024,10,MO,Preliminary,"272,410","2,197,369","2,868,575"
2024,10,MS,Preliminary,"190,527","1,401,531","1,351,543"
2024,10,MT,Preliminary,"48,691","365,355","561,413"
2024,10,NC,Preliminary,"608,597","3,999,325","5,095,542"
2024,10,ND,Preliminary,"38,871","322,332","398,439"
2024,10,NE,Preliminary,"87,311","721,765","916,388"
2024,10,NH,Preliminary,"80,259","324,989","653,760"
2024,10,NJ,Preliminary,"357,992","1,829,115","3,747,355"
2024,10,NM,Preliminary,"77,776","557,060","916,344"
2024,10,NV,Preliminary,"160,091","1,096,187","1,313,789"
2024,10,NY,Preliminary,"862,084","3,450,693","7,435,981"
2024,10,OH,Preliminary,"574,192","3,452,659","5,095,269"
2024,10,OK,Preliminary,"238,191","1,715,154","1,894,513"
2024,10,OR,Preliminary,"206,450","1,352,391","1,880,778"
2024,10,PA,Preliminary,"630,122","3,415,132","5,519,180"
2024,10,RI,Preliminary,"65,121","236,177","463,483"
2024,10,SC,Preliminary,"330,826","2,159,213","2,592,220"
2024,10,SD,Preliminary,"47,901","345,893","438,519"
2024,10,TN,Preliminary,"378,079","2,943,484","3,082,436"
2024,10,TX,Preliminary,"2,187,461","13,955,402","12,661,222"
2024,10,UT,Preliminary,"95,290","838,281","1,243,815"
2024,10,VA,Preliminary,"420,410","2,810,583","3,673,161"
2024,10,VT,Preliminary,"36,614","157,340","321,787"
2024,10,WA,Preliminary,"335,197","2,685,910","3,397,400"
2024,10,WI,Preliminary,"260,282","1,513,130","2,850,950"
2024,10,WV,Preliminary,"106,838","652,088","865,739"
2024,10,WY,Preliminary,"26,359","187,211","288,214"
2024,9,AK,Preliminary,"36,730","142,902","300,906"
2024,9,AL,Preliminary,"443,240","2,880,223","2,402,822"
2024,9,AR,Preliminary,"219,449","1,714,223","1,480,935"
2024,9,AZ,Preliminary,"653,274","4,370,261","3,107,671"
2024,9,CA,Preliminary,"2,738,446","8,638,454","13,909,512"
2024,9,CO,Preliminary,"287,128","1,831,689","2,490,445"
2024,9,CT,Preliminary,"293,426","888,028","1,553,866"
2024,9,DC,Preliminary,"36,721","203,678","320,427"
2024,9,DE,Preliminary,"71,111","426,161","471,781"
