Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh
2009,9,AL,Final,"295,278","2,720,755","2,130,354",10.85
2009,9,AR,Final,"139,712","1,498,380","1,318,008",9.32
2009,9,AZ,Final,"405,317","3,629,328","2,533,273",11.17
2009,9,CA,Final,"1,403,746","9,038,173","12,920,243",15.53
2009,9,CO,Final,"159,191","1,492,145","2,112,045",10.67
2009,9,CT,Final,"212,021","1,043,553","1,445,949",20.32
2009,9,DC,Final,"22,587","152,679","221,304",14.79
2009,9,DE,Final,"56,712","393,877","394,110",14.40
2009,9,FL,Final,"1,409,862","11,425,856","8,475,376",12.34
2009,9,GA,Final,"512,762","4,836,724","4,065,013",10.60
2009,9,HI,Final,"66,550","261,095","413,352",25.49
2009,9,IA,Final,"102,245","912,244","1,323,949",11.21
2009,9,ID,Final,"44,729","575,195","660,596",7.78
2009,9,IL,Final,"393,804","3,431,146","5,049,240",11.48
2009,9,IN,Final,"239,318","2,410,871","2,731,327",9.93
2009,9,KS,Final,"102,707","1,013,938","1,209,145",10.13
2009,9,KY,Final,"172,452","2,044,222","1,926,351",8.44
2009,9,LA,Final,"233,784","2,953,001","1,953,756",7.92
2009,9,MA,Final,"268,293","1,552,323","2,660,034",17.28
2009,9,MD,Final,"312,460","2,017,703","2,188,196",15.49
2009,9,ME,Final,"51,835","331,424","697,508",15.64
2009,9,MI,Final,"320,539","2,522,428","4,122,906",12.71
2009,9,MN,Final,"163,589","1,618,811","2,291,471",10.11
2009,9,MO,Final,"231,249","2,503,722","2,688,024",9.24
2009,9,MS,Final,"176,526","1,731,510","1,246,309",10.19
2009,9,MT,Final,"30,122","320,984","464,927",9.38
2009,9,NC,Final,"485,954","4,677,333","4,182,018",10.39
2009,9,ND,Final,"23,370","268,081","320,273",8.72
2009,9,NE,Final,"66,275","667,461","800,177",9.93
2009,9,NH,Final,"62,002","384,787","593,903",16.11
2009,9,NJ,Final,"381,397","2,283,845","3,462,417",16.70
2009,9,NM,Final,"55,253","540,891","846,372",10.22
2009,9,NV,Final,"166,644","1,255,659","1,054,786",13.27
2009,9,NY,Final,"781,652","4,162,908","6,915,728",18.78
2009,9,OH,Final,"414,084","3,713,873","4,868,453",11.15
2009,9,OK,Final,"167,460","1,685,510","1,647,046",9.94
2009,9,OR,Final,"111,412","1,240,836","1,624,020",8.98
2009,9,PA,Final,"449,227","3,762,304","5,233,598",11.94
2009,9,RI,Final,"34,592","211,121","434,447",16.38
2009,9,SC,Final,"262,924","2,521,036","2,087,335",10.43
2009,9,SD,Final,"27,915","299,808","367,057",9.31
2009,9,TN,Final,"322,096","3,518,042","2,698,637",9.16
2009,9,TX,Final,"1,510,655","12,531,668","9,530,199",12.05
2009,9,UT,Final,"67,967","768,315","933,200",8.85
2009,9,VA,Final,"363,439","3,270,681","3,192,262",11.11
2009,9,VT,Final,"23,704","155,971","307,981",15.20
2009,9,WA,Final,"174,370","2,226,514","2,811,650",7.83
2009,9,WI,Final,"187,293","1,511,187","2,588,852",12.39
2009,9,WV,Final,"59,962","751,157","865,311",7.98
2009,9,WY,Final,"16,205","175,731","255,593",9.22
2009,8,AK,Final,"24,839","145,331","270,795",17.09
2009,8,AL,Final,"358,802","3,288,580","2,130,691",10.91
2009,8,AR,Final,"169,793","1,801,166","1,317,609",9.43
2009,8,AZ,Final,"489,890","4,340,108","2,532,185",11.29
2009,8,CA,Final,"1,424,058","8,938,470","12,929,715",15.93
2009,8,CO,Final,"176,346","1,694,880","2,113,198",10.40
2009,8,CT,Final,"248,176","1,227,621","1,444,390",20.22
2009,8,DC,Final,"33,130","225,099","220,717",14.72
2009,8,DE,Final,"63,873","446,281","394,206",14.31
2009,8,FL,Final,"1,460,719","11,925,941","8,420,221",12.25
2009,8,GA,Final,"646,066","5,997,107","4,066,978",10.77
2009,8,HI,Final,"69,768","277,624","412,792",25.13
2009,8,IA,Final,"132,672","1,172,680","1,323,943",11.31
2009,8,ID,Final,"53,296","632,963","659,876",8.42
2009,8,IL,Final,"483,055","4,333,577","5,062,273",11.15
2009,8,IN,Final,"297,255","3,050,556","2,726,190",9.74
2009,8,KS,Final,"145,726","1,430,496","1,212,692",10.19
2009,8,KY,Final,"213,710","2,485,255","1,926,405",8.60
2009,8,LA,Final,"261,661","3,334,216","1,954,794",7.85
2009,8,MA,Final,"327,459","2,056,939","2,659,462",15.92
2009,8,MD,Final,"431,230","2,753,217","2,186,970",15.66
2009,8,ME,Final,"60,546","390,834","697,539",15.49
2009,8,MI,Final,"386,726","3,102,790","4,263,488",12.46
2009,8,MN,Final,"198,089","1,808,785","2,291,822",10.95
2009,8,MO,Final,"326,733","3,314,780","2,689,829",9.86
2009,8,MS,Final,"199,267","1,964,262","1,246,670",10.14
2009,8,MT,Final,"31,919","343,839","465,507",9.28
2009,8,NC,Final,"575,371","5,720,402","4,180,840",10.06
2009,8,ND,Final,"24,196","271,026","323,061",8.93
2009,8,NE,Final,"82,386","820,203","799,763",10.04
2009,8,NH,Final,"68,149","423,394","594,441",16.10
2009,8,NJ,Final,"594,505","3,421,179","3,451,847",17.38
2009,8,NM,Final,"74,244","677,839","845,563",10.95
2009,8,NV,Final,"213,364","1,617,225","1,056,108",13.19
2009,8,NY,Final,"899,946","4,947,395","6,913,494",18.19
2009,8,OH,Final,"555,203","4,817,902","4,869,666",11.52
2009,8,OK,Final,"210,455","2,533,600","1,647,223",8.31
2009,8,OR,Final,"125,979","1,406,858","1,622,607",8.95
2009,8,PA,Final,"606,359","4,890,466","5,231,421",12.40
2009,8,RI,Final,"49,250","350,368","421,778",14.06
2009,8,SC,Final,"326,880","3,147,648","2,086,091",10.38
2009,8,SD,Final,"31,238","337,874","367,536",9.25
2009,8,TN,Final,"358,823","3,901,049","2,701,886",9.20
2009,8,TX,Final,"1,894,184","15,595,465","9,512,846",12.15
2009,8,UT,Final,"86,395","939,043","931,904",9.20
2009,8,VA,Final,"484,696","4,443,328","3,189,857",10.91
2009,8,VT,Final,"27,315","181,216","307,686",15.07
2009,8,WA,Final,"185,050","2,355,284","2,809,843",7.86
2009,8,WI,Final,"225,600","1,837,552","2,590,914",12.28
2009,8,WV,Final,"73,815","929,376","864,782",7.94
2009,8,WY,Final,"16,073","173,591","255,374",9.26
2009,7,AK,Final,"26,303","146,373","270,357",17.97
2009,7,AL,Final,"391,339","3,619,945","2,129,180",10.81
2009,7,AR,Final,"181,095","1,930,262","1,317,039",9.38
2009,7,AZ,Final,"487,284","4,313,263","2,535,216",11.30
2009,7,CA,Final,"1,361,004","8,689,814","13,131,552",15.66
2009,7,CO,Final,"173,740","1,673,977","2,111,290",10.38
2009,7,CT,Final,"220,079","1,074,742","1,448,090",20.48
2009,7,DC,Final,"28,644","197,216","220,654",14.52
2009,7,DE,Final,"56,661","392,826","393,649",14.42
2009,7,FL,Final,"1,527,623","12,361,379","8,492,461",12.36
2009,7,GA,Final,"696,630","6,452,136","4,066,263",10.80
2009,7,HI,Final,"60,712","264,104","413,029",22.99
2009,7,IA,Final,"143,439","1,257,226","1,324,164",11.41
2009,7,ID,Final,"59,098","696,122","659,622",8.49
2009,7,IL,Final,"452,699","4,128,309","5,057,908",10.97
2009,7,IN,Final,"274,398","2,852,540","2,730,984",9.62
2009,7,KS,Final,"146,316","1,480,569","1,215,720",9.88
2009,7,KY,Final,"208,182","2,430,581","1,922,936",8.57
2009,7,LA,Final,"288,537","3,611,414","1,952,529",7.99
2009,7,MA,Final,"267,762","1,624,932","2,662,948",16.48
2009,7,MD,Final,"392,253","2,466,326","2,186,991",15.90
2009,7,ME,Final,"56,248","363,009","697,148",15.49
2009,7,MI,Final,"352,293","2,901,581","4,265,262",12.14
2009,7,MN,Final,"194,797","1,782,197","2,292,308",10.93
2009,7,MO,Final,"331,670","3,398,821","2,684,985",9.76
2009,7,MS,Final,"219,248","2,156,930","1,245,580",10.16
2009,7,MT,Final,"32,126","335,401","465,465",9.58
2009,7,NC,Final,"610,709","5,987,174","4,178,344",10.20
2009,7,ND,Final,"23,900","268,321","322,768",8.91
2009,7,NE,Final,"90,688","908,548","799,499",9.98
2009,7,NH,Final,"57,312","349,705","593,899",16.39
2009,7,NJ,Final,"500,605","2,826,495","3,428,075",17.71
2009,7,NM,Final,"71,033","665,826","844,927",10.67
2009,7,NV,Final,"212,278","1,647,886","1,053,411",12.88
2009,7,NY,Final,"802,798","4,305,002","6,914,705",18.65
2009,7,OH,Final,"510,793","4,446,240","4,872,106",11.49
2009,7,OK,Final,"228,840","2,685,071","1,644,999",8.52
2009,7,OR,Final,"135,796","1,514,679","1,623,180",8.97
2009,7,PA,Final,"538,180","4,333,037","5,231,700",12.42
2009,7,RI,Final,"38,175","258,535","434,584",14.77
2009,7,SC,Final,"349,130","3,316,853","2,087,510",10.53
2009,7,SD,Final,"31,197","334,514","368,520",9.33
2009,7,TN,Final,"370,477","4,082,451","2,696,097",9.07
2009,7,TX,Final,"2,024,016","16,354,219","9,519,519",12.38
2009,7,UT,Final,"93,351","1,031,439","930,680",9.05
2009,7,VA,Final,"454,165","4,133,804","3,186,176",10.99
2009,7,VT,Final,"26,015","174,976","307,615",14.87
2009,7,WA,Final,"188,523","2,421,062","2,816,319",7.79
2009,7,WI,Final,"218,158","1,790,725","2,592,949",12.18
2009,7,WV,Final,"68,286","864,789","864,543",7.90
2009,7,WY,Final,"17,850","194,613","255,220",9.17
2009,6,AK,Final,"25,240","142,629","270,029",17.70
2009,6,AL,Final,"326,560","2,905,742","2,127,822",11.24
2009,6,AR,Final,"128,632","1,394,660","1,315,212",9.22
2009,6,AZ,Final,"350,111","3,105,657","2,533,413",11.27
2009,6,CA,Final,"1,054,890","7,141,058","13,096,466",14.77
2009,6,CO,Final,"131,445","1,323,265","2,111,500",9.93
2009,6,CT,Final,"186,533","891,069","1,449,360",20.93
2009,6,DC,Final,"21,613","152,225","220,184",14.20
2009,6,DE,Final,"46,149","311,761","393,570",14.80
2009,6,FL,Final,"1,301,757","10,647,832","8,525,447",12.23
2009,6,GA,Final,"559,191","5,169,730","4,062,865",10.82
2009,6,HI,Final,"57,924","260,875","411,758",22.20
2009,6,IA,Final,"111,369","1,020,553","1,321,819",10.91
2009,6,ID,Final,"44,417","531,896","658,421",8.35
2009,6,IL,Final,"463,041","4,063,311","5,069,021",11.40
2009,6,IN,Final,"260,243","2,661,384","2,730,713",9.78
2009,6,KS,Final,"135,463","1,349,836","1,209,517",10.04
2009,6,KY,Final,"187,054","2,210,211","1,925,640",8.46
2009,6,LA,Final,"207,166","2,710,636","1,950,170",7.64
2009,6,MA,Final,"244,120","1,385,145","2,655,341",17.62
2009,6,MD,Final,"325,610","2,051,561","2,188,271",15.87
2009,6,ME,Final,"47,074","302,924","696,770",15.54
2009,6,MI,Final,"314,879","2,535,829","4,271,874",12.42
2009,6,MN,Final,"171,829","1,606,366","2,289,644",10.70
2009,6,MO,Final,"300,268","3,029,226","2,685,017",9.91
2009,6,MS,Final,"168,432","1,595,533","1,244,174",10.56
2009,6,MT,Final,"29,509","310,944","465,407",9.49
2009,6,NC,Final,"475,960","4,768,979","4,174,070",9.98
